Materiale;Nuovo Testo breve materiale;;Nuovo Testo breve materiale EN;;;;;;;;;;;;;;;;;;;;;;
5162304004-00;DADO ESAG. AUTOBL. BASSO A2K M4-6;33;SELF-LOCKING NUT LOW A2K M4-6;29;;;;;;;;;;;;;;;;;;;;;
5162004004-00;DADO ESAG. AUTOBL. BASSO A2K M4x0,5-8;37;SELF-LOCKING NUT LOW A2K M4x0,5-8;33;;;;;;;;;;;;;;;;;;;;;
5162003005-00;DADO ESAG. AUTOBL. BASSO A2K M5-6;33;SELF-LOCKING NUT LOW A2K M5-6;29;;;;;;;;;;;;;;;;;;;;;
5162004005-00;DADO ESAG. AUTOBL. BASSO A2K M5x0,5-8;37;SELF-LOCKING NUT LOW A2K M5x0,5-8;33;;;;;;;;;;;;;;;;;;;;;
5162003006-00;DADO ESAG. AUTOBL. BASSO A2K M6-8;33;SELF-LOCKING NUT LOW A2K M6-8;29;;;;;;;;;;;;;;;;;;;;;
5162004006-00;DADO ESAG. AUTOBL. BASSO A2K M6x0,75-8;38;SELF-LOCKING NUT LOW A2K M6x0,75-8;34;;;;;;;;;;;;;;;;;;;;;
5162003008-00;DADO ESAG. AUTOBL. BASSO A2K M8-8;33;SELF-LOCKING NUT LOW A2K M8-8;29;;;;;;;;;;;;;;;;;;;;;
5162004008-00;DADO ESAG. AUTOBL. BASSO A2K M8x1-8;35;SELF-LOCKING NUT LOW A2K M8x1-8;31;;;;;;;;;;;;;;;;;;;;;
5162314016-00;DADO ESAG. AUTOBL. M14;22;SELF-LOCKING NUT M14;20;;;;;;;;;;;;;;;;;;;;;
5162316200-00;DADO ESAG. AUTOBL. M16;22;SELF-LOCKING NUT M16;20;;;;;;;;;;;;;;;;;;;;;
5162316020-00;DADO ESAG. AUTOBL. M16X1,5;26;SELF-LOCKING NUT M16X1,5;24;;;;;;;;;;;;;;;;;;;;;
5163300001-00;DADO ESAG. AUTOBL. SICURBLOC DF008;34;SELF-LOCKING NUT SICURBLOC DF008;32;;;;;;;;;;;;;;;;;;;;;
5142416008-00;DADO ESAG. BASSO A2 M16-70;26;HEXAGONAL NUT LOW A2 M16-70;27;;;;;;;;;;;;;;;;;;;;;
5142310006-00;DADO ESAG. BASSO A2K M10-4;26;HEXAGONAL NUT LOW A2K M10-4;27;;;;;;;;;;;;;;;;;;;;;
5142310007-00;DADO ESAG. BASSO A2K M10x1-4;28;HEXAGONAL NUT LOW A2K M10x1-4;29;;;;;;;;;;;;;;;;;;;;;
5145310008-00;DADO ESAG. BASSO A2K M10x1,25-4;31;HEXAGONAL NUT LOW A2K M10x1,25-4;32;;;;;;;;;;;;;;;;;;;;;
5142312007-00;DADO ESAG. BASSO A2K M12-4;26;HEXAGONAL NUT LOW A2K M12-4;27;;;;;;;;;;;;;;;;;;;;;
5145112015-00;DADO ESAG. BASSO A2K M12x1,5-4;30;HEXAGONAL NUT LOW A2K M12x1,5-4;31;;;;;;;;;;;;;;;;;;;;;
5145312000-00;DADO ESAG. BASSO A2K M12x1.25-4;31;HEXAGONAL NUT LOW A2K M12x1.25-4;32;;;;;;;;;;;;;;;;;;;;;
5141314008-00;DADO ESAG. BASSO A2K M14-4;26;HEXAGONAL NUT LOW A2K M14-4;27;;;;;;;;;;;;;;;;;;;;;
5142314008-00;DADO ESAG. BASSO A2K M14-4;26;HEXAGONAL NUT LOW A2K M14-4;27;;;;;;;;;;;;;;;;;;;;;
5145114015-00;DADO ESAG. BASSO A2K M14x1,5-4;30;HEXAGONAL NUT LOW A2K M14x1,5-4;31;;;;;;;;;;;;;;;;;;;;;
5146316008-00;DADO ESAG. BASSO A2K M16 SX-4;29;HEXAGONAL NUT LOW A2K M16 SX-4;30;;;;;;;;;;;;;;;;;;;;;
5142316008-00;DADO ESAG. BASSO A2K M16-4;26;HEXAGONAL NUT LOW A2K M16-4;27;;;;;;;;;;;;;;;;;;;;;
5145116008-00;DADO ESAG. BASSO A2K M16x1,5-4;30;HEXAGONAL NUT LOW A2K M16x1,5-4;31;;;;;;;;;;;;;;;;;;;;;
5145118004-00;DADO ESAG. BASSO A2K M18x1,,5-4;31;HEXAGONAL NUT LOW A2K M18x1,,5-4;32;;;;;;;;;;;;;;;;;;;;;
5142320009-00;DADO ESAG. BASSO A2K M20-4;26;HEXAGONAL NUT LOW A2K M20-4;27;;;;;;;;;;;;;;;;;;;;;
5145120009-00;DADO ESAG. BASSO A2K M20x1,5-4;30;HEXAGONAL NUT LOW A2K M20x1,5-4;31;;;;;;;;;;;;;;;;;;;;;
5145320015-00;DADO ESAG. BASSO A2K M20x1,5-4;30;HEXAGONAL NUT LOW A2K M20x1,5-4;31;;;;;;;;;;;;;;;;;;;;;
5145122015-00;DADO ESAG. BASSO A2K M22x1,5-4;30;HEXAGONAL NUT LOW A2K M22x1,5-4;31;;;;;;;;;;;;;;;;;;;;;
5142324010-00;DADO ESAG. BASSO A2K M24-4;26;HEXAGONAL NUT LOW A2K M24-4;27;;;;;;;;;;;;;;;;;;;;;
5145124010-00;DADO ESAG. BASSO A2K M24x2-4;28;HEXAGONAL NUT LOW A2K M24x2-4;29;;;;;;;;;;;;;;;;;;;;;
5145330012-00;DADO ESAG. BASSO A2K M30x2-4;28;HEXAGONAL NUT LOW A2K M30x2-4;29;;;;;;;;;;;;;;;;;;;;;
5142305003-00;DADO ESAG. BASSO A2K M5-4;25;HEXAGONAL NUT LOW A2K M5-4;26;;;;;;;;;;;;;;;;;;;;;
