Materiale;Nuovo Testo breve materiale;;Nuovo Testo breve materiale EN;
5000051103-00;CUSCINETTO ASSIALE SFERA 51103;30;THRUST BALL BEARING 51103;25
5000051104-00;CUSCINETTO ASSIALE SFERA 51104;30;THRUST BALL BEARING 51104;25
5000051105-00;CUSCINETTO ASSIALE SFERA 51105;30;THRUST BALL BEARING 51105;25
5000051106-00;CUSCINETTO ASSIALE SFERA 51106;30;THRUST BALL BEARING 51106;25
5000051108-00;CUSCINETTO ASSIALE SFERA 51108;30;THRUST BALL BEARING 51108;25
5000051111-00;CUSCINETTO ASSIALE SFERA 51111;30;THRUST BALL BEARING 51111;25
5000051112-00;CUSCINETTO ASSIALE SFERA 51112;30;THRUST BALL BEARING 51112;25
5000051120-00;CUSCINETTO ASSIALE SFERA 51120;30;THRUST BALL BEARING 51120;25
5000051122-00;CUSCINETTO ASSIALE SFERA 51122;30;THRUST BALL BEARING 51122;25
5000051124-00;CUSCINETTO ASSIALE SFERA 51124;30;THRUST BALL BEARING 51124;25
5000051130-00;CUSCINETTO ASSIALE SFERA 51130;30;THRUST BALL BEARING 51130;25
5000051144-00;CUSCINETTO ASSIALE SFERA 51144;30;THRUST BALL BEARING 51144;25
5000051200-00;CUSCINETTO ASSIALE SFERA 51200;30;THRUST BALL BEARING 51200;25
5000051204-00;CUSCINETTO ASSIALE SFERA 51204;30;THRUST BALL BEARING 51204;25
5000051205-00;CUSCINETTO ASSIALE SFERA 51205;30;THRUST BALL BEARING 51205;25
5000051305-00;CUSCINETTO ASSIALE SFERA 51305;30;THRUST BALL BEARING 51305;25
5000051405-00;CUSCINETTO ASSIALE SFERA 51405;30;THRUST BALL BEARING 51405;25
5000052202-00;CUSCINETTO ASSIALE SFERA 52202;30;THRUST BALL BEARING 52202;25
5000052204-00;CUSCINETTO ASSIALE SFERA 52204;30;THRUST BALL BEARING 52204;25
5000061800-00;CUSCINETTO RADIALE SFERA 61800;30;DEEP GROOVE B-BEARING 61800;27
5000061802-00;CUSCINETTO RADIALE SFERA 61802-2RS1;35;DEEP GROOVE B-BEARING 61802-2RS1;32
5000061804-00;CUSCINETTO RADIALE SFERA 61804;30;DEEP GROOVE B-BEARING 61804;27
5000061811-00;CUSCINETTO RADIALE SFERA 61811;30;DEEP GROOVE B-BEARING 61811;27
5000061812-00;CUSCINETTO RADIALE SFERA 61812-2RS1;35;DEEP GROOVE B-BEARING 61812-2RS1;32
5000061814-00;CUSCINETTO RADIALE SFERA 61814-2RS1;35;DEEP GROOVE B-BEARING 61814-2RS1;32
5000061816-00;CUSCINETTO RADIALE SFERA 61816-2RS1;35;DEEP GROOVE B-BEARING 61816-2RS1;32
5000061818-00;CUSCINETTO RADIALE SFERA 61818-2RS1;35;DEEP GROOVE B-BEARING 61818-2RS1;32
5000061856-00;CUSCINETTO RADIALE SFERA 61856;30;DEEP GROOVE B-BEARING 61856;27
5000061900-00;CUSCINETTO RADIALE SFERA 61900-2RS1;35;DEEP GROOVE B-BEARING 61900-2RS1;32
5000061902-00;CUSCINETTO RADIALE SFERA 61902-2RS1;35;DEEP GROOVE B-BEARING 61902-2RS1;32
5000061904-00;CUSCINETTO RADIALE SFERA 61904-2RS1;35;DEEP GROOVE B-BEARING 61904-2RS1;32
5000061905-00;CUSCINETTO RADIALE SFERA 61905-2RS1;35;DEEP GROOVE B-BEARING 61905-2RS1;32
5000061906-00;CUSCINETTO RADIALE SFERA 61906-2RS1;35;DEEP GROOVE B-BEARING 61906-2RS1;32
5000061907-00;CUSCINETTO RADIALE SFERA 61907-2RS1;35;DEEP GROOVE B-BEARING 61907-2RS1;32
5000061908-00;CUSCINETTO RADIALE SFERA 61908;30;DEEP GROOVE B-BEARING 61908;27
